source_collage,output_filename,row,column,x,y,width,height
invoice_07.png,batch2_invoice_087.png,1,1,0,0,286,286
invoice_07.png,batch2_invoice_088.png,1,2,288,0,292,286
invoice_07.png,batch2_invoice_089.png,1,3,582,0,310,286
invoice_07.png,batch2_invoice_090.png,1,4,894,0,274,286
invoice_07.png,batch2_invoice_091.png,1,5,1170,0,366,286
invoice_07.png,batch2_invoice_092.png,2,1,0,288,293,227
invoice_07.png,batch2_invoice_093.png,2,2,295,288,298,227
invoice_07.png,batch2_invoice_094.png,2,3,595,288,297,227
invoice_07.png,batch2_invoice_095.png,2,4,894,288,310,227
invoice_07.png,batch2_invoice_096.png,2,5,1206,288,330,227
invoice_07.png,batch2_invoice_097.png,3,1,0,517,288,238
invoice_07.png,batch2_invoice_098.png,3,2,290,517,299,238
invoice_07.png,batch2_invoice_099.png,3,3,591,517,293,238
invoice_07.png,batch2_invoice_100.png,3,4,886,517,323,238
invoice_07.png,batch2_invoice_101.png,3,5,1211,517,324,238
invoice_07.png,batch2_invoice_102.png,4,1,0,757,315,267
invoice_07.png,batch2_invoice_103.png,4,2,317,757,277,267
invoice_07.png,batch2_invoice_104.png,4,3,596,757,294,267
invoice_07.png,batch2_invoice_105.png,4,4,892,757,311,267
invoice_07.png,batch2_invoice_106.png,4,5,1205,757,331,267
invoice_08.png,batch2_invoice_107.png,1,1,0,0,309,265
invoice_08.png,batch2_invoice_108.png,1,2,311,0,300,265
invoice_08.png,batch2_invoice_109.png,1,3,613,0,302,265
invoice_08.png,batch2_invoice_110.png,1,4,918,0,295,265
invoice_08.png,batch2_invoice_111.png,1,5,1216,0,320,265
invoice_08.png,batch2_invoice_112.png,2,1,0,267,310,243
invoice_08.png,batch2_invoice_113.png,2,2,312,267,298,243
invoice_08.png,batch2_invoice_114.png,2,3,613,267,302,243
invoice_08.png,batch2_invoice_115.png,2,4,918,267,295,243
invoice_08.png,batch2_invoice_116.png,2,5,1215,267,321,243
invoice_08.png,batch2_invoice_117.png,3,1,0,512,309,241
invoice_08.png,batch2_invoice_118.png,3,2,311,512,300,241
invoice_08.png,batch2_invoice_119.png,3,3,613,512,302,241
invoice_08.png,batch2_invoice_120.png,3,4,918,512,295,241
